,Name,Date,Source,Destination,Dep_time,Arr_time,Duration,Stops,Price
0,Air Asia,"Sat, 27 Nov",New Delhi,Mumbai,20:00,"02:25
+ 1 day",6h 25m,1 Stop,"5,953"
1,Air Asia,"Sat, 27 Nov",New Delhi,Mumbai,20:45,"07:15
+ 1 day",10h 30m,1 Stop,"5,953"
2,Air Asia,"Sat, 27 Nov",New Delhi,Mumbai,20:00,"07:40
+ 1 day",11h 40m,1 Stop,"5,953"
3,Air Asia,"Sat, 27 Nov",New Delhi,Mumbai,12:40,"02:25
+ 1 day",13h 45m,1 Stop,"5,953"
4,Go First,"Sat, 27 Nov",New Delhi,Mumbai,21:10,23:15,2h 05m,Non Stop,"5,954"
5,Go First,"Sat, 27 Nov",New Delhi,Mumbai,07:00,09:10,2h 10m,Non Stop,"5,954"
6,Go First,"Sat, 27 Nov",New Delhi,Mumbai,08:00,10:10,2h 10m,Non Stop,"5,954"
7,Go First,"Sat, 27 Nov",New Delhi,Mumbai,22:30,"00:40
+ 1 day",2h 10m,Non Stop,"5,954"
8,Go First,"Sat, 27 Nov",New Delhi,Mumbai,19:40,21:55,2h 15m,Non Stop,"5,954"
9,Air India,"Sat, 27 Nov",New Delhi,Mumbai,18:00,20:00,2h 00m,Non Stop,"5,955"
10,Vistara,"Sat, 27 Nov",New Delhi,Mumbai,05:45,07:55,2h 10m,Non Stop,"5,955"
11,IndiGo,"Sat, 27 Nov",New Delhi,Mumbai,06:30,08:40,2h 10m,Non Stop,"5,955"
12,IndiGo,"Sat, 27 Nov",New Delhi,Mumbai,07:15,09:25,2h 10m,Non Stop,"5,955"
13,Vistara,"Sat, 27 Nov",New Delhi,Mumbai,19:50,22:00,2h 10m,Non Stop,"5,955"
14,Air India,"Sat, 27 Nov",New Delhi,Mumbai,20:00,22:10,2h 10m,Non Stop,"5,955"
15,Vistara,"Sat, 27 Nov",New Delhi,Mumbai,21:40,23:50,2h 10m,Non Stop,"5,955"
16,IndiGo,"Sat, 27 Nov",New Delhi,Mumbai,23:15,"01:25
+ 1 day",2h 10m,Non Stop,"5,955"
17,Vistara,"Sat, 27 Nov",New Delhi,Mumbai,07:30,09:45,2h 15m,Non Stop,"5,955"
18,IndiGo,"Sat, 27 Nov",New Delhi,Mumbai,18:35,20:50,2h 15m,Non Stop,"5,955"
19,Air India,"Sat, 27 Nov",New Delhi,Mumbai,19:00,21:15,2h 15m,Non Stop,"5,955"
20,Vistara,"Sat, 27 Nov",New Delhi,Mumbai,17:45,20:05,2h 20m,Non Stop,"5,955"
21,Vistara,"Sat, 27 Nov",New Delhi,Mumbai,18:55,21:15,2h 20m,Non Stop,"5,955"
22,IndiGo,"Sat, 27 Nov",New Delhi,Mumbai,04:45,07:10,2h 25m,Non Stop,"5,955"
